episode,winner,reward_0,reward_1,loss_0,loss_1,entropy_0,entropy_1
1,0,0.991,-0.009,3.217727,-0.245276,3.964143,4.224009
2,1,-0.011,0.99,-0.824844,2.849066,3.636848,3.439853
3,0,0.989,-0.011,1.924787,-0.694234,3.395367,3.520762
4,1,-0.011,0.99,-1.417379,2.25976,3.724839,3.635611
5,1,-0.013,0.988,-1.033227,1.66889,3.958571,3.489959
6,0,0.991,-0.009,2.95713,-2.015639,4.376795,3.95821
7,1,-0.011,0.99,-0.96033,1.4508,3.726696,4.081305
8,0,0.988,-0.012,2.573843,-2.285852,3.8005,3.797231
9,1,-0.013,0.988,-1.182361,0.919417,3.54357,3.468566
10,1,-0.014,0.987,-0.647176,0.600594,3.107827,3.448493
11,1,-0.011,0.99,-0.426767,0.087008,4.096072,3.919117
12,0,0.988,-0.012,3.196709,-2.658673,4.006411,3.303677
13,1,-0.008,0.993,-0.519546,0.132257,3.887521,4.227134
14,0,0.989,-0.011,2.558182,-2.392225,3.634388,3.327773
15,0,0.99,-0.01,2.597966,-2.188244,3.997042,3.678087
16,0,0.989,-0.011,2.043636,-1.853999,4.051655,3.654659
17,0,0.987,-0.013,0.500382,-1.142164,3.669041,3.546628
18,0,0.988,-0.012,-0.168182,-0.764685,3.309663,3.379612
19,0,0.989,-0.011,-0.758046,-0.367322,3.663956,3.433629
20,0,0.993,-0.007,-0.610048,-0.044798,4.473234,3.734805
21,1,-0.013,0.988,-2.901763,3.366231,3.647455,3.621739
22,1,-0.011,0.99,-2.394707,3.39076,3.692892,3.706711
23,0,0.988,-0.012,1.095437,-0.433785,3.607772,3.780606
24,1,-0.012,0.989,-1.656967,2.854414,3.548787,3.480402
25,0,0.99,-0.01,1.312729,-0.727292,3.563239,3.7071
26,0,0.988,-0.012,1.173638,-0.629845,3.452403,3.190254
27,1,-0.013,0.988,-1.726303,2.508686,3.367025,3.643604
28,1,-0.01,0.991,-1.920957,2.735066,3.885072,3.89086
29,0,0.99,-0.01,2.164497,-1.158478,3.931708,3.312382
30,0,0.99,-0.01,1.396047,-1.016253,4.077332,3.673271
31,0,0.991,-0.009,1.346128,-1.041882,4.457714,3.955101
