episode,winner,dataset_size,loss
1,0,13,0.0
2,0,34,0.0
3,1,56,0.0
4,1,78,0.0
5,0,101,0.0
6,1,125,0.0
7,1,149,0.0
8,0,170,0.0
9,1,200,0.0
10,0,217,0.0
11,0,240,0.0
12,1,264,4.730664
13,1,288,4.68454
14,0,309,4.698502
15,1,331,4.64886
16,1,353,4.651177
17,0,380,4.675111
18,1,398,4.684051
19,1,418,4.695578
20,0,439,4.6836
21,0,462,4.642126
22,1,480,4.619513
23,1,504,4.713387
24,0,519,4.661715
25,0,540,4.622027
26,1,566,4.624771
27,1,592,4.621563
28,0,605,4.668089
29,0,624,4.643849
30,0,641,4.673981
31,1,663,4.667447
32,0,682,4.738909
33,0,713,4.745762
34,1,737,4.666152
35,0,748,4.55211
36,1,774,4.747589
37,1,790,4.607467
38,1,814,4.578362
39,1,842,4.572098
40,0,861,4.688996
41,0,888,4.57679
42,0,907,4.502425
43,1,927,4.52202
44,1,949,4.565279
45,1,973,4.480281
46,1,999,4.607022
47,0,1018,4.539615
48,1,1042,4.550133
49,0,1067,4.567909
50,1,1081,4.576567
51,0,1102,4.554424
52,1,1118,4.547551
53,1,1136,4.443136
54,1,1156,4.447402
55,1,1176,4.417478
56,0,1203,4.468568
57,0,1228,4.535715
58,1,1254,4.397174
59,1,1278,4.528698
60,0,1297,4.504818
61,1,1325,4.488954
62,1,1345,4.428957
63,0,1368,4.447301
64,1,1390,4.362336
65,0,1407,4.317398
66,0,1418,4.415914
67,0,1427,4.41173
68,1,1437,4.336228
69,1,1463,4.404075
70,1,1487,4.298454
71,0,1516,4.347384
72,0,1541,4.216699
73,0,1564,4.249072
74,0,1591,4.335872
75,1,1615,4.46333
76,1,1641,4.343211
77,0,1666,4.317167
78,0,1693,4.347285
79,1,1715,4.328157
80,1,1733,4.263808
81,0,1746,4.298099
82,0,1769,4.382781
83,0,1790,4.274174
84,1,1818,4.306334
85,1,1842,4.132338
86,1,1856,4.202234
87,1,1876,4.207112
88,0,1899,4.182964
89,1,1923,4.214337
90,0,1944,4.179601
91,1,1968,4.18323
92,0,1985,4.15426
93,1,2003,4.284993
94,0,2032,4.09554
95,1,2058,4.161179
96,1,2082,4.166682
97,0,2103,4.157308
98,1,2123,4.137348
99,1,2143,4.173214
100,1,2169,4.106036
101,1,2199,4.114177
102,1,2223,4.038832
103,1,2249,4.156182
104,0,2262,4.116161
105,0,2277,4.161443
106,0,2302,4.064733
107,0,2325,4.11205
108,1,2353,4.110862
109,0,2370,4.138068
110,0,2389,4.091225
111,0,2408,4.041102
112,1,2430,3.975656
113,0,2453,4.232013
114,1,2473,4.070495
115,0,2500,4.045674
116,0,2517,4.058004
117,0,2536,3.973311
118,0,2547,4.002824
119,1,2571,4.139608
120,1,2597,4.023777
121,1,2623,4.084178
122,1,2639,4.05239
123,1,2651,4.030909
124,1,2671,4.172023
125,1,2693,3.997182
126,0,2716,4.011806
127,1,2732,3.955688
128,1,2756,3.970463
129,1,2782,4.15095
130,0,2797,4.126004
131,1,2821,3.921989
132,0,2838,4.084543
133,1,2848,4.115917
134,0,2873,3.936923
135,1,2891,4.088877
136,1,2911,4.027738
137,0,2938,4.00214
138,1,2960,4.047426
139,0,2981,4.139578
140,1,3011,4.038106
141,1,3037,3.971487
142,1,3059,4.104497
143,0,3088,4.073499
144,0,3105,4.05441
145,0,3124,3.854811
146,0,3145,3.964602
147,1,3171,4.061373
148,0,3194,4.100021
149,1,3204,4.072246
150,0,3219,4.067937
151,0,3238,4.114089
152,0,3249,3.903111
153,0,3266,4.213965
154,0,3291,4.036013
155,0,3310,4.017195
156,1,3334,3.954299
157,1,3358,4.1131
158,0,3389,4.092457
159,1,3409,4.024627
160,0,3434,4.103954
161,0,3455,4.101288
162,1,3471,3.93751
163,1,3483,4.070498
164,0,3504,3.981935
165,1,3522,4.068185
166,0,3529,4.025868
167,0,3552,4.052616
168,1,3578,4.107067
169,1,3596,4.05242
170,0,3615,4.084467
171,1,3635,4.120016
172,0,3656,4.073081
173,1,3680,4.033223
174,1,3698,4.091284
175,0,3717,4.077425
176,1,3741,3.98214
177,1,3755,4.011626
178,1,3765,4.170202
179,0,3788,4.147767
180,1,3810,3.952666
181,0,3817,4.064814
182,1,3839,4.094697
183,1,3849,3.928509
184,1,3871,3.971894
185,1,3891,4.192237
186,0,3908,4.04486
187,1,3936,4.00744
188,0,3953,3.93376
189,0,3980,4.044693
190,0,3999,3.838697
191,1,4023,4.053979
192,0,4042,4.031577
193,0,4061,4.011437
194,0,4076,4.005623
195,0,4093,3.871125
196,0,4116,4.067641
197,0,4137,3.962466
198,1,4157,3.997895
199,1,4177,3.966355
200,0,4190,3.9975
