episode,opponent,learner_won,winner,reward_learner,epsilon
1,frozen,0,1,-0.012,0.995
2,random,0,0,-0.006,0.990025
3,minimax,0,1,-0.008,0.985075
4,self,1,0,0.988,0.98015
5,frozen,1,0,0.989,0.975249
6,frozen,1,0,0.986,0.970373
7,heuristic,0,1,-0.002,0.965521
8,heuristic,0,1,-0.003,0.960693
9,frozen,1,1,0.993,0.95589
10,self,1,1,0.987,0.95111
11,frozen,1,1,0.989,0.946355
12,frozen,0,1,-0.01,0.941623
13,heuristic,0,0,-0.002,0.936915
14,random,0,1,-0.009,0.93223
15,random,1,1,0.988,0.927569
16,heuristic,0,0,-0.008,0.922931
17,minimax,0,1,-0.005,0.918316
18,frozen,1,1,0.989,0.913725
19,frozen,1,1,0.987,0.909156
20,frozen,1,0,0.989,0.90461
21,frozen,1,0,0.994,0.900087
22,minimax,0,1,-0.008,0.895587
23,frozen,1,1,0.992,0.891109
24,heuristic,0,0,-0.005,0.886654
25,minimax,0,1,-0.003,0.88222
26,random,0,0,-0.008,0.877809
27,frozen,0,0,-0.009,0.87342
28,heuristic,0,0,-0.007,0.869053
29,random,1,0,0.99,0.864708
30,minimax,0,0,-0.005,0.860384
31,self,1,1,0.986,0.856082
32,random,1,0,0.992,0.851802
33,frozen,0,0,-0.013,0.847543
34,frozen,0,1,-0.011,0.843305
35,minimax,0,1,-0.006,0.839089
36,frozen,1,0,0.992,0.834893
37,minimax,0,1,-0.01,0.830719
38,frozen,0,1,-0.008,0.826565
39,self,1,1,0.989,0.822432
40,minimax,0,1,-0.001,0.81832
41,frozen,0,1,-0.011,0.814229
42,random,0,1,-0.009,0.810157
43,frozen,1,1,0.989,0.806107
44,frozen,0,0,-0.01,0.802076
45,frozen,1,1,0.988,0.798066
46,self,0,0,-0.011,0.794075
47,frozen,0,1,-0.011,0.790105
48,heuristic,0,0,-0.006,0.786154
49,frozen,1,1,0.987,0.782224
50,frozen,1,0,0.989,0.778313
51,random,1,1,0.988,0.774421
52,self,0,0,-0.009,0.770549
53,self,0,0,-0.014,0.766696
54,frozen,1,0,0.989,0.762863
55,frozen,1,0,0.99,0.759048
56,self,1,1,0.991,0.755253
57,self,1,0,0.989,0.751477
58,random,0,0,-0.012,0.747719
59,frozen,0,0,-0.011,0.743981
60,minimax,0,0,-0.004,0.740261
61,self,0,1,-0.01,0.73656
62,frozen,1,1,0.988,0.732877
63,minimax,0,1,-0.008,0.729212
64,self,1,0,0.987,0.725566
65,random,1,1,0.99,0.721939
66,minimax,0,0,-0.004,0.718329
67,random,0,0,-0.013,0.714737
68,heuristic,0,0,-0.002,0.711164
69,self,1,0,0.989,0.707608
70,frozen,1,0,0.99,0.70407
71,random,0,0,-0.012,0.700549
72,frozen,0,1,-0.011,0.697047
73,frozen,0,1,-0.012,0.693561
74,random,1,0,0.989,0.690094
75,frozen,0,0,-0.013,0.686643
76,self,0,1,-0.013,0.68321
77,self,1,0,0.986,0.679794
78,self,1,1,0.989,0.676395
79,random,1,0,0.991,0.673013
80,self,1,0,0.991,0.669648
81,frozen,0,1,-0.01,0.6663
82,minimax,0,1,-0.005,0.662968
83,frozen,0,0,-0.012,0.659653
84,self,1,1,0.989,0.656355
85,random,0,1,-0.012,0.653073
86,heuristic,0,0,-0.004,0.649808
87,frozen,0,0,-0.012,0.646559
88,self,0,0,-0.012,0.643326
89,self,1,1,0.987,0.640109
90,self,0,1,-0.013,0.636909
91,frozen,1,0,0.987,0.633724
92,minimax,0,0,-0.003,0.630556
93,heuristic,0,0,-0.007,0.627403
94,minimax,0,0,-0.007,0.624266
95,random,0,0,-0.011,0.621145
96,frozen,0,1,-0.01,0.618039
97,random,0,0,-0.009,0.614949
98,frozen,1,1,0.987,0.611874
99,minimax,0,0,-0.008,0.608815
100,frozen,1,1,0.991,0.60577
101,minimax,0,0,-0.004,0.602742
102,frozen,1,0,0.992,0.599728
