episode,winner,reward_0,reward_1,epsilon_0,epsilon_1
1,1,-0.008,0.993,0.995,0.995
2,0,0.99,-0.01,0.990025,0.990025
3,0,0.988,-0.012,0.985075,0.985075
4,1,-0.011,0.99,0.98015,0.98015
5,0,0.992,-0.008,0.975249,0.975249
6,0,0.992,-0.008,0.970373,0.970373
7,1,-0.009,0.992,0.965521,0.965521
8,1,-0.014,0.987,0.960693,0.960693
9,0,0.989,-0.011,0.95589,0.95589
10,0,0.986,-0.014,0.95111,0.95111
11,0,0.991,-0.009,0.946355,0.946355
12,1,-0.008,0.993,0.941623,0.941623
13,0,0.99,-0.01,0.936915,0.936915
14,0,0.989,-0.011,0.93223,0.93223
15,0,0.992,-0.008,0.927569,0.927569
16,1,-0.011,0.99,0.922931,0.922931
17,0,0.995,-0.005,0.918316,0.918316
18,1,-0.014,0.987,0.913725,0.913725
19,1,-0.01,0.991,0.909156,0.909156
20,1,-0.012,0.989,0.90461,0.90461
21,0,0.988,-0.012,0.900087,0.900087
22,0,0.988,-0.012,0.895587,0.895587
23,0,0.988,-0.012,0.891109,0.891109
24,0,0.992,-0.008,0.886654,0.886654
25,1,-0.009,0.992,0.88222,0.88222
