episode,winner,reward_0,reward_1,epsilon_0,epsilon_1
1,0,0.98,-1.02,0.995,0.995
2,0,0.982,-1.018,0.99,0.99
3,1,-1.023,0.977,0.9851,0.9851
4,0,0.982,-1.018,0.9801,0.9801
5,1,-1.023,0.977,0.9752,0.9752
6,1,-1.021,0.979,0.9704,0.9704
7,0,0.976,-1.024,0.9655,0.9655
8,0,0.972,-1.028,0.9607,0.9607
9,0,0.978,-1.022,0.9559,0.9559
10,1,-1.023,0.977,0.9511,0.9511
11,0,0.98,-1.02,0.9464,0.9464
12,0,0.976,-1.024,0.9416,0.9416
13,0,0.98,-1.02,0.9369,0.9369
14,0,0.978,-1.022,0.9322,0.9322
15,1,-1.017,0.983,0.9276,0.9276
16,1,-1.025,0.975,0.9229,0.9229
17,1,-1.013,0.987,0.9183,0.9183
18,0,0.98,-1.02,0.9137,0.9137
19,1,-1.019,0.981,0.9092,0.9092
20,1,-1.021,0.979,0.9046,0.9046
21,0,0.98,-1.02,0.9001,0.9001
22,0,0.976,-1.024,0.8956,0.8956
23,0,0.97,-1.03,0.8911,0.8911
24,1,-1.025,0.975,0.8867,0.8867
25,1,-1.025,0.975,0.8822,0.8822
26,0,0.982,-1.018,0.8778,0.8778
27,1,-1.023,0.977,0.8734,0.8734
28,1,-1.021,0.979,0.8691,0.8691
29,0,0.976,-1.024,0.8647,0.8647
30,1,-1.023,0.977,0.8604,0.8604
31,1,-1.021,0.979,0.8561,0.8561
32,0,0.982,-1.018,0.8518,0.8518
33,1,-1.021,0.979,0.8475,0.8475
34,1,-1.021,0.979,0.8433,0.8433
35,0,0.984,-1.016,0.8391,0.8391
36,0,0.982,-1.018,0.8349,0.8349
37,1,-1.027,0.973,0.8307,0.8307
38,0,0.972,-1.028,0.8266,0.8266
39,0,0.982,-1.018,0.8224,0.8224
40,1,-1.017,0.983,0.8183,0.8183
41,1,-1.021,0.979,0.8142,0.8142
42,0,0.976,-1.024,0.8102,0.8102
43,0,0.982,-1.018,0.8061,0.8061
44,0,0.978,-1.022,0.8021,0.8021
45,0,0.982,-1.018,0.7981,0.7981
46,0,0.982,-1.018,0.7941,0.7941
47,0,0.978,-1.022,0.7901,0.7901
48,0,0.976,-1.024,0.7862,0.7862
49,1,-1.023,0.977,0.7822,0.7822
50,0,0.986,-1.014,0.7783,0.7783
51,0,0.978,-1.022,0.7744,0.7744
52,0,0.976,-1.024,0.7705,0.7705
53,1,-1.015,0.985,0.7667,0.7667
54,0,0.974,-1.026,0.7629,0.7629
55,1,-1.019,0.981,0.759,0.759
56,0,0.972,-1.028,0.7553,0.7553
57,0,0.978,-1.022,0.7515,0.7515
58,0,0.97,-1.03,0.7477,0.7477
59,1,-1.023,0.977,0.744,0.744
60,0,0.974,-1.026,0.7403,0.7403
61,1,-1.015,0.985,0.7366,0.7366
62,0,0.978,-1.022,0.7329,0.7329
63,0,0.976,-1.024,0.7292,0.7292
64,1,-1.009,0.991,0.7256,0.7256
65,1,-1.015,0.985,0.7219,0.7219
66,0,0.98,-1.02,0.7183,0.7183
67,0,0.98,-1.02,0.7147,0.7147
68,0,0.982,-1.018,0.7112,0.7112
69,0,0.982,-1.018,0.7076,0.7076
70,0,0.988,-1.012,0.7041,0.7041
71,0,0.98,-1.02,0.7005,0.7005
72,1,-1.015,0.985,0.697,0.697
73,0,0.984,-1.016,0.6936,0.6936
74,1,-1.023,0.977,0.6901,0.6901
75,0,0.984,-1.016,0.6866,0.6866
76,0,0.976,-1.024,0.6832,0.6832
77,1,-1.027,0.973,0.6798,0.6798
78,1,-1.015,0.985,0.6764,0.6764
79,1,-1.023,0.977,0.673,0.673
80,1,-1.019,0.981,0.6696,0.6696
