episode,winner,reward_0,reward_1,epsilon_0,epsilon_1
1,1,-1.019,0.981,0.995,0.995
2,1,-1.019,0.981,0.99,0.99
3,0,0.976,-1.024,0.9851,0.9851
4,1,-1.015,0.985,0.9801,0.9801
5,0,0.99,-1.01,0.9752,0.9752
6,1,-1.019,0.981,0.9704,0.9704
7,0,0.982,-1.018,0.9655,0.9655
8,1,-1.009,0.991,0.9607,0.9607
9,0,0.98,-1.02,0.9559,0.9559
10,0,0.982,-1.018,0.9511,0.9511
11,0,0.974,-1.026,0.9464,0.9464
12,1,-1.025,0.975,0.9416,0.9416
13,1,-1.025,0.975,0.9369,0.9369
14,1,-1.021,0.979,0.9322,0.9322
15,1,-1.025,0.975,0.9276,0.9276
16,0,0.982,-1.018,0.9229,0.9229
17,1,-1.017,0.983,0.9183,0.9183
18,0,0.98,-1.02,0.9137,0.9137
19,1,-1.021,0.979,0.9092,0.9092
20,1,-1.019,0.981,0.9046,0.9046
21,0,0.978,-1.022,0.9001,0.9001
22,0,0.976,-1.024,0.8956,0.8956
23,1,-1.021,0.979,0.8911,0.8911
24,0,0.976,-1.024,0.8867,0.8867
25,1,-1.015,0.985,0.8822,0.8822
26,0,0.988,-1.012,0.8778,0.8778
27,1,-1.017,0.983,0.8734,0.8734
28,1,-1.015,0.985,0.8691,0.8691
29,0,0.98,-1.02,0.8647,0.8647
30,1,-1.021,0.979,0.8604,0.8604
31,1,-1.023,0.977,0.8561,0.8561
32,1,-1.019,0.981,0.8518,0.8518
33,0,0.986,-1.014,0.8475,0.8475
34,1,-1.025,0.975,0.8433,0.8433
35,0,0.978,-1.022,0.8391,0.8391
36,0,0.978,-1.022,0.8349,0.8349
37,0,0.978,-1.022,0.8307,0.8307
38,0,0.982,-1.018,0.8266,0.8266
39,1,-1.023,0.977,0.8224,0.8224
40,0,0.984,-1.016,0.8183,0.8183
41,0,0.978,-1.022,0.8142,0.8142
42,1,-1.017,0.983,0.8102,0.8102
43,0,0.982,-1.018,0.8061,0.8061
44,1,-1.023,0.977,0.8021,0.8021
45,1,-1.025,0.975,0.7981,0.7981
46,1,-1.021,0.979,0.7941,0.7941
47,0,0.976,-1.024,0.7901,0.7901
48,1,-1.019,0.981,0.7862,0.7862
49,0,0.982,-1.018,0.7822,0.7822
50,0,0.978,-1.022,0.7783,0.7783
