episode,winner,reward_0,reward_1,loss_0,loss_1,entropy_0,entropy_1
1,0,0.991,-0.009,-0.515124,0.007047,3.964144,4.224009
2,1,-0.011,0.99,0.189031,-0.510169,3.636847,3.439853
3,0,0.989,-0.011,-0.435904,0.157069,3.395367,3.520762
4,1,-0.011,0.99,0.419943,-0.457311,3.724839,3.635612
5,1,-0.013,0.988,0.236661,-0.397744,3.95857,3.489958
6,0,0.991,-0.009,-0.481631,0.619892,4.376795,3.958214
7,1,-0.011,0.99,0.235719,-0.333654,3.726696,4.081308
8,0,0.988,-0.012,-0.477571,0.808001,3.800498,3.797237
9,1,-0.013,0.988,0.354313,-0.283679,3.543567,3.468569
10,1,-0.014,0.987,0.169891,-0.220699,3.107827,3.448494
11,1,-0.011,0.99,0.053177,-0.08194,4.096069,3.919137
12,0,0.988,-0.012,-0.50646,1.361494,4.006405,3.303678
13,1,-0.008,0.993,0.076885,-0.088338,3.887511,4.227109
14,0,0.989,-0.011,-0.484564,1.114997,3.634376,3.327776
15,0,0.99,-0.01,-0.469005,0.834812,3.997041,3.678087
16,0,0.989,-0.011,-0.413692,0.656202,4.05164,3.654644
17,0,0.987,-0.013,-0.184313,0.361179,3.669028,3.546615
18,0,0.988,-0.012,-0.022167,0.232067,3.309652,3.379609
19,0,0.989,-0.011,0.162061,0.074348,3.663955,3.43366
20,0,0.993,-0.007,0.097415,-0.043241,4.473224,3.734862
21,1,-0.013,0.988,1.324874,-0.528149,3.64744,3.621766
22,1,-0.011,0.99,0.903317,-0.52806,3.692874,3.706717
23,0,0.988,-0.012,-0.300604,0.081165,3.607745,3.780591
24,1,-0.012,0.989,0.609755,-0.508776,3.548765,3.480437
25,0,0.99,-0.01,-0.334731,0.182367,3.563219,3.707157
26,0,0.988,-0.012,-0.316741,0.182854,3.452377,3.190285
27,1,-0.013,0.988,0.687507,-0.476624,3.36702,3.643653
28,1,-0.01,0.991,0.631648,-0.486326,3.885067,3.890924
29,0,0.99,-0.01,-0.431314,0.412497,3.931706,3.312429
30,0,0.99,-0.01,-0.322789,0.281431,4.077385,3.67336
31,0,0.991,-0.009,-0.303886,0.263321,4.457784,3.955152
32,0,0.987,-0.013,-0.111766,0.24628,3.803123,2.772272
33,1,-0.01,0.991,1.249433,-0.503429,3.259744,3.775741
34,1,-0.012,0.989,1.141882,-0.48263,3.824933,3.467775
35,1,-0.011,0.99,0.947865,-0.465545,3.310386,4.019845
36,1,-0.01,0.991,0.67873,-0.43093,3.522963,4.013839
37,1,-0.009,0.992,0.401341,-0.32336,3.160178,4.169356
38,1,-0.012,0.989,0.369019,-0.230654,3.497077,3.419563
39,0,0.989,-0.011,-0.479329,1.118052,3.383611,3.198099
40,1,-0.012,0.989,0.247457,-0.058123,3.323717,3.075672
41,1,-0.011,0.99,0.171501,-0.012926,3.616199,3.9002
42,0,0.987,-0.013,-0.501689,1.311448,3.770264,3.332931
43,0,0.988,-0.012,-0.478374,0.982624,3.78598,3.708297
44,1,-0.013,0.988,0.175145,-0.135075,3.505259,2.953516
45,1,-0.01,0.991,0.205922,-0.278213,4.001361,3.475285
46,1,-0.01,0.991,0.210673,-0.209635,4.094243,4.008357
47,1,-0.012,0.989,0.183354,-0.134521,2.954728,3.839622
48,1,-0.012,0.989,0.160637,0.000304,3.322386,3.348176
49,0,0.992,-0.008,-0.520643,1.280602,4.095818,3.587071
50,1,-0.011,0.99,0.162598,-0.058392,3.701878,3.494424
51,0,0.989,-0.011,-0.495473,0.996479,3.779986,3.388394
52,1,-0.011,0.99,0.227947,-0.25783,3.81075,3.435666
53,0,0.99,-0.01,-0.45447,0.733764,3.328195,4.135027
54,0,0.991,-0.009,-0.478693,0.825053,4.202982,3.243094
55,0,0.991,-0.009,-0.41332,0.519118,3.455642,3.864227
56,1,-0.008,0.993,0.461415,-0.420024,3.533604,3.407402
57,0,0.99,-0.01,-0.306294,0.347853,4.296803,3.371476
58,1,-0.011,0.99,0.732629,-0.427353,3.585572,3.927859
59,1,-0.01,0.991,0.407836,-0.38347,4.046362,4.195725
60,0,0.987,-0.013,-0.301741,0.48849,3.590263,3.094476
61,0,0.988,-0.012,-0.271942,0.366767,3.944122,3.008538
62,1,-0.012,0.989,0.576619,-0.372968,3.2115,4.130424
63,1,-0.014,0.987,0.680098,-0.362917,3.48622,2.903905
64,1,-0.012,0.989,0.350252,-0.253835,3.547112,3.071598
65,0,0.989,-0.011,-0.428438,0.786061,4.123104,3.922138
66,0,0.989,-0.011,-0.458861,0.917957,3.982541,3.515771
67,1,-0.013,0.988,0.500671,-0.347118,3.108468,3.283486
68,0,0.991,-0.009,-0.450313,0.702565,4.002395,4.056965
69,0,0.988,-0.012,-0.400651,0.556046,3.970747,3.305208
70,1,-0.01,0.991,0.633766,-0.43033,4.17134,4.111768
71,1,-0.012,0.989,0.482574,-0.35119,3.524997,3.573502
72,1,-0.009,0.992,0.402105,-0.310424,3.623276,4.349525
73,1,-0.011,0.99,0.331299,-0.196776,3.556887,3.461718
74,0,0.989,-0.011,-0.461189,0.957837,3.259048,3.531121
75,1,-0.012,0.989,0.26117,-0.169252,3.39566,3.649222
76,1,-0.011,0.99,0.296766,-0.18843,3.362532,3.984196
77,1,-0.013,0.988,0.1818,0.036462,3.312104,3.433984
78,1,-0.015,0.986,0.175871,0.006107,3.572652,2.949403
79,0,0.992,-0.008,-0.534798,1.433835,4.74122,3.420838
80,1,-0.011,0.99,0.132324,-0.030124,3.476874,3.692441
81,0,0.988,-0.012,-0.483336,0.893843,3.558347,3.379596
82,1,-0.009,0.992,0.19992,-0.284821,3.941927,4.26509
83,0,0.989,-0.011,-0.486396,0.778581,4.068041,2.850111
84,0,0.991,-0.009,-0.484844,0.713347,3.477814,4.239544
85,1,-0.008,0.993,0.360647,-0.429119,3.713163,4.337104
86,1,-0.012,0.989,0.347703,-0.346047,3.764821,3.483159
87,1,-0.014,0.987,0.381386,-0.309621,3.389462,3.471311
88,1,-0.011,0.99,0.277025,-0.252585,3.26118,3.574372
89,1,-0.012,0.989,0.14448,0.005242,3.769272,3.83144
90,0,0.987,-0.013,-0.47341,1.064864,3.383588,3.952326
91,1,-0.01,0.991,0.222571,-0.2137,3.834805,3.853454
92,0,0.99,-0.01,-0.497606,1.180804,3.724032,3.553365
93,1,-0.01,0.991,0.201431,-0.182973,3.352748,4.169886
94,1,-0.01,0.991,0.21433,-0.117573,3.467133,3.923013
95,0,0.987,-0.013,-0.483487,1.078551,3.300193,3.596247
96,0,0.991,-0.009,-0.497211,0.998541,4.219131,3.96788
97,1,-0.01,0.991,0.305702,-0.273201,3.140121,4.209877
98,0,0.988,-0.012,-0.443925,0.783898,3.642169,3.75128
99,0,0.989,-0.011,-0.3802,0.643943,3.545303,2.991728
100,1,-0.01,0.991,0.544291,-0.406542,3.754658,4.294727
101,0,0.988,-0.012,-0.307444,0.534056,3.278443,3.396772
102,0,0.99,-0.01,-0.295108,0.415521,4.32347,4.018005
103,1,-0.006,0.995,0.631048,-0.466611,4.159592,4.082179
104,1,-0.01,0.991,0.645407,-0.437185,3.254167,4.020414
105,0,0.991,-0.009,-0.364831,0.4979,3.909366,3.310522
106,1,-0.011,0.99,0.546581,-0.388067,3.360348,3.691797
107,0,0.99,-0.01,-0.333431,0.441541,4.143924,3.068034
108,0,0.989,-0.011,-0.285342,0.390783,3.839262,3.524666
109,1,-0.007,0.994,0.722017,-0.466901,4.248889,4.411395
110,0,0.99,-0.01,-0.242943,0.333141,3.700693,3.665249
111,0,0.988,-0.012,-0.14936,0.322847,3.648573,3.044359
112,0,0.992,-0.008,-0.197664,0.265701,4.16881,3.528917
113,0,0.988,-0.012,0.014663,0.224997,3.14071,3.32622
114,1,-0.011,0.99,1.116599,-0.482935,3.62107,3.618649
115,0,0.988,-0.012,-0.120796,0.254529,3.956601,3.119353
116,0,0.986,-0.014,-0.08584,0.205045,3.881839,3.448148
117,1,-0.012,0.989,0.949248,-0.483484,3.657764,3.278186
118,0,0.99,-0.01,-0.197068,0.229056,4.060467,3.587742
119,1,-0.009,0.992,0.725578,-0.497982,4.219882,3.987479
120,1,-0.007,0.994,0.505475,-0.494587,4.766734,4.827235
121,1,-0.009,0.992,0.394783,-0.422436,3.794847,3.548171
122,1,-0.011,0.99,0.370465,-0.4019,3.104719,4.317507
123,0,0.989,-0.011,-0.443801,0.589347,3.207553,3.729703
124,1,-0.01,0.991,0.326474,-0.366629,3.953626,4.02562
125,0,0.989,-0.011,-0.459643,0.717416,3.912218,2.987357
126,1,-0.006,0.995,0.223731,-0.355315,4.449898,4.514132
127,0,0.992,-0.008,-0.472139,0.71785,3.814847,4.046089
128,0,0.992,-0.008,-0.485021,0.690661,4.316851,3.565795
129,1,-0.011,0.99,0.379455,-0.351596,3.763122,3.906082
130,0,0.991,-0.009,-0.436751,0.616061,4.282419,3.054946
131,1,-0.007,0.994,0.390177,-0.372326,3.863343,4.415468
132,1,-0.01,0.991,0.388167,-0.32867,3.679464,3.530186
133,1,-0.007,0.994,0.335611,-0.311242,3.69936,4.632617
134,0,0.991,-0.009,-0.466115,0.895975,4.026944,3.462968
135,1,-0.011,0.99,0.341706,-0.201191,3.602471,3.627088
136,1,-0.01,0.991,0.324925,-0.158574,4.382102,4.304654
137,0,0.995,-0.005,-0.490951,0.981918,5.069867,4.866921
138,0,0.99,-0.01,-0.428497,0.802748,4.661856,3.573639
139,0,0.992,-0.008,-0.46458,0.91721,4.032522,4.118757
140,0,0.993,-0.007,-0.409798,0.64705,4.412179,4.192072
141,1,-0.01,0.991,0.541255,-0.373702,3.48991,3.984539
142,0,0.987,-0.013,-0.354173,0.67728,3.044872,2.98695
143,0,0.988,-0.012,-0.290695,0.535334,3.831985,3.183609
144,1,-0.012,0.989,0.850609,-0.42985,3.515817,3.306223
145,1,-0.011,0.99,0.907611,-0.457001,3.279542,4.054291
146,1,-0.01,0.991,0.741703,-0.419121,3.848908,3.885603
147,1,-0.012,0.989,0.484156,-0.365385,3.841376,3.812147
148,0,0.989,-0.011,-0.416313,0.690517,3.88893,3.421481
149,0,0.99,-0.01,-0.431388,0.60578,3.65589,3.437738
150,0,0.987,-0.013,-0.329623,0.447054,3.839457,3.24858
151,1,-0.01,0.991,0.510411,-0.38601,3.119848,4.470123
152,0,0.988,-0.012,-0.313054,0.4232,4.048433,3.157413
153,1,-0.007,0.994,0.526903,-0.443357,3.815638,4.71343
154,1,-0.011,0.99,0.579943,-0.376464,3.215876,4.088579
155,1,-0.012,0.989,0.389834,-0.302394,3.741844,3.546215
156,1,-0.014,0.987,0.43665,-0.263189,3.403085,3.81618
157,0,0.988,-0.012,-0.420818,0.733181,3.610529,3.414154
158,1,-0.011,0.99,0.230619,-0.147225,3.17014,3.532409
159,0,0.987,-0.013,-0.42518,0.969926,3.815992,2.917267
160,0,0.988,-0.012,-0.441549,0.846367,3.485643,3.986233
161,0,0.99,-0.01,-0.411203,0.651847,2.953077,3.447535
162,1,-0.013,0.988,0.486641,-0.331604,3.181948,3.363671
163,0,0.986,-0.014,-0.347197,0.634703,3.306894,3.506049
164,0,0.99,-0.01,-0.265772,0.354491,4.558406,3.720442
165,0,0.988,-0.012,-0.177881,0.229345,3.691256,3.378846
166,1,-0.011,0.99,0.979753,-0.472009,3.655858,3.284164
167,0,0.989,-0.011,-0.177196,0.273244,3.833028,3.459025
168,1,-0.011,0.99,0.706226,-0.436607,2.991636,3.767767
169,1,-0.012,0.989,0.757772,-0.459949,3.297251,4.232708
170,1,-0.012,0.989,0.797032,-0.431646,4.322089,3.74181
171,0,0.992,-0.008,-0.429395,0.499669,4.572474,3.318532
172,1,-0.013,0.988,0.670817,-0.400925,3.77981,3.3093
173,0,0.99,-0.01,-0.352655,0.414236,3.721422,3.724918
174,0,0.994,-0.006,-0.441813,0.449049,4.861017,3.228014
175,0,0.992,-0.008,-0.397906,0.464372,4.350364,3.532837
176,1,-0.01,0.991,0.497109,-0.43653,3.664583,4.249643
177,0,0.992,-0.008,-0.286587,0.334863,4.050202,3.949999
178,1,-0.01,0.991,0.643969,-0.437902,4.025342,4.109926
179,0,0.987,-0.013,-0.270351,0.416205,3.868792,3.303985
180,0,0.99,-0.01,-0.29792,0.338475,4.150412,3.4325
